Chromosome,Start,End,Type,Family,GeneID
1,1743236,1743513,DNA/PIF-Harbinger,rnd-2_family-192,
1,1921568,1921648,DNA/PIF-Harbinger,rnd-2_family-192,
1,2170433,2170559,DNA/PIF-Harbinger,rnd-2_family-192,
1,2202476,2202568,DNA/PIF-Harbinger,rnd-2_family-192,
1,2204877,2205113,DNA/PIF-Harbinger,rnd-2_family-192,
1,2328202,2328474,DNA/PIF-Harbinger,rnd-2_family-192,
1,2328202,2328342,DNA/PIF-Harbinger,rnd-2_family-192,
1,2328458,2328474,DNA/PIF-Harbinger,rnd-2_family-192,
1,2330672,2330858,DNA/PIF-Harbinger,rnd-2_family-192,
1,2362258,2362338,DNA/PIF-Harbinger,rnd-2_family-192,
1,2372873,2372977,DNA/PIF-Harbinger,rnd-2_family-192,
1,2372953,2373065,DNA/PIF-Harbinger,rnd-2_family-192,
1,2385687,2385777,DNA/PIF-Harbinger,rnd-2_family-192,
1,2460357,2460560,DNA/PIF-Harbinger,rnd-2_family-192,
1,2498062,2498107,DNA/PIF-Harbinger,rnd-2_family-192,
1,2792727,2792792,DNA/PIF-Harbinger,rnd-2_family-192,
1,2973005,2973191,DNA/PIF-Harbinger,rnd-2_family-192,
1,2984312,2984433,DNA/PIF-Harbinger,rnd-2_family-192,
1,3070958,3071073,DNA/PIF-Harbinger,rnd-2_family-192,
1,3087500,3087596,DNA/PIF-Harbinger,rnd-2_family-192,
1,3321942,3322061,DNA/PIF-Harbinger,rnd-2_family-192,
1,3347441,3347498,DNA/PIF-Harbinger,rnd-2_family-192,
1,3348573,3348687,DNA/PIF-Harbinger,rnd-2_family-192,
1,3404195,3404329,DNA/PIF-Harbinger,rnd-2_family-192,
1,3405552,3405897,DNA/PIF-Harbinger,rnd-2_family-192,
1,3405552,3405701,DNA/PIF-Harbinger,rnd-2_family-192,
1,3405853,3405897,DNA/PIF-Harbinger,rnd-2_family-192,
1,3550145,3550217,DNA/PIF-Harbinger,rnd-2_family-192,
1,3581164,3581316,DNA/PIF-Harbinger,rnd-2_family-192,
1,3584648,3584769,DNA/PIF-Harbinger,rnd-2_family-192,
1,3862716,3862910,DNA/PIF-Harbinger,rnd-2_family-192,
1,4049588,4049659,DNA/PIF-Harbinger,rnd-2_family-192,
1,4057519,4057610,DNA/PIF-Harbinger,rnd-2_family-192,
1,4133758,4133847,DNA/PIF-Harbinger,rnd-2_family-192,
1,4135011,4135048,DNA/PIF-Harbinger,rnd-2_family-192,
1,4478979,4479019,DNA/PIF-Harbinger,rnd-2_family-192,
1,4788402,4788534,DNA/PIF-Harbinger,rnd-2_family-192,
1,4789700,4789801,DNA/PIF-Harbinger,rnd-2_family-192,
1,550928,550999,DNA/hAT-Ac,rnd-1_family-8,
1,627022,627162,DNA/hAT-Ac,rnd-1_family-8,
1,666195,666282,DNA/hAT-Ac,rnd-1_family-8,
1,803111,803169,DNA/hAT-Ac,rnd-1_family-8,
1,806581,806655,DNA/hAT-Ac,rnd-1_family-8,
1,883749,883833,DNA/hAT-Ac,rnd-1_family-8,
1,936968,937172,DNA/hAT-Ac,rnd-1_family-8,
1,1043292,1043367,DNA/hAT-Ac,rnd-1_family-8,
1,1192564,1192686,DNA/hAT-Ac,rnd-1_family-8,
1,1196938,1197007,DNA/hAT-Ac,rnd-1_family-8,
1,1435407,1435497,DNA/hAT-Ac,rnd-1_family-8,
1,1447341,1447419,DNA/hAT-Ac,rnd-1_family-8,
1,1480044,1480137,DNA/hAT-Ac,rnd-1_family-8,
1,1560968,1561052,DNA/hAT-Ac,rnd-1_family-8,
1,1574478,1574671,DNA/hAT-Ac,rnd-1_family-8,
1,1579899,1580091,DNA/hAT-Ac,rnd-1_family-8,
1,1764140,1764381,DNA/hAT-Ac,rnd-1_family-8,
1,1836658,1836756,DNA/hAT-Ac,rnd-1_family-8,
1,1935535,1935624,DNA/hAT-Ac,rnd-1_family-8,
1,1987086,1987167,DNA/hAT-Ac,rnd-1_family-8,
1,2061874,2061955,DNA/hAT-Ac,rnd-1_family-8,
1,2116821,2116985,DNA/hAT-Ac,rnd-1_family-8,
1,2270572,2270738,DNA/hAT-Ac,rnd-1_family-8,
1,2276839,2276987,DNA/hAT-Ac,rnd-1_family-8,
1,2442064,2442178,DNA/hAT-Ac,rnd-1_family-8,
1,2453179,2453260,DNA/hAT-Ac,rnd-1_family-8,
1,2474120,2474216,DNA/hAT-Ac,rnd-1_family-8,
1,2483910,2484031,DNA/hAT-Ac,rnd-1_family-8,
1,2488144,2488222,DNA/hAT-Ac,rnd-1_family-8,
1,2774316,2774429,DNA/hAT-Ac,rnd-1_family-8,
1,2872269,2872496,DNA/hAT-Ac,rnd-1_family-8,
1,2935867,2935976,DNA/hAT-Ac,rnd-1_family-8,
1,3056097,3056208,DNA/hAT-Ac,rnd-1_family-8,
1,3086493,3086676,DNA/hAT-Ac,rnd-1_family-8,
1,3092832,3092940,DNA/hAT-Ac,rnd-1_family-8,
1,3215633,3215736,DNA/hAT-Ac,rnd-1_family-8,
1,3305534,3305734,DNA/hAT-Ac,rnd-1_family-8,
1,3334693,3334780,DNA/hAT-Ac,rnd-1_family-8,
1,3359751,3359884,DNA/hAT-Ac,rnd-1_family-8,
1,3363712,3363837,DNA/hAT-Ac,rnd-1_family-8,
1,3382539,3382713,DNA/hAT-Ac,rnd-1_family-8,
1,3425553,3425648,DNA/hAT-Ac,rnd-1_family-8,
1,3474759,3474880,DNA/hAT-Ac,rnd-1_family-8,
1,3491705,3491842,DNA/hAT-Ac,rnd-1_family-8,
1,3498251,3498361,DNA/hAT-Ac,rnd-1_family-8,
1,3583976,3584102,DNA/hAT-Ac,rnd-1_family-8,
1,3670990,3671012,DNA/hAT-Ac,rnd-1_family-8,
1,3745156,3745211,DNA/hAT-Ac,rnd-1_family-8,
1,3778045,3778305,DNA/hAT-Ac,rnd-1_family-8,
1,3794635,3794808,DNA/hAT-Ac,rnd-1_family-8,
1,3838495,3838587,DNA/hAT-Ac,rnd-1_family-8,
1,3858706,3858778,DNA/hAT-Ac,rnd-1_family-8,
1,3892762,3892841,DNA/hAT-Ac,rnd-1_family-8,
1,4276659,4276861,DNA/hAT-Ac,rnd-1_family-8,
1,4517473,4517689,DNA/hAT-Ac,rnd-1_family-8,
1,4529166,4529254,DNA/hAT-Ac,rnd-1_family-8,
1,4695522,4695616,DNA/hAT-Ac,rnd-1_family-8,
1,4733484,4733543,DNA/hAT-Ac,rnd-1_family-8,
1,4919288,4920250,DNA/hAT-Ac,rnd-1_family-8,
1,569909,569983,LINE/L1,rnd-1_family-12,
1,878669,878734,LINE/L1,rnd-1_family-12,
1,1020758,1020880,LINE/L1,rnd-1_family-12,
1,1100708,1100824,LINE/L1,rnd-1_family-12,
1,1155857,1155982,LINE/L1,rnd-1_family-12,
1,1186576,1186633,LINE/L1,rnd-1_family-12,
1,1309600,1309650,LINE/L1,rnd-1_family-12,
1,1729422,1729544,LINE/L1,rnd-1_family-12,
1,1804954,1805037,LINE/L1,rnd-1_family-12,
1,1842449,1842538,LINE/L1,rnd-1_family-12,
1,1961491,1961543,LINE/L1,rnd-1_family-12,
1,2179144,2179260,LINE/L1,rnd-1_family-12,
1,2386201,2386311,LINE/L1,rnd-1_family-12,
1,2666181,2666318,LINE/L1,rnd-1_family-12,
1,2793997,2794073,LINE/L1,rnd-1_family-12,
1,3090877,3090976,LINE/L1,rnd-1_family-12,
1,3224733,3224843,LINE/L1,rnd-1_family-12,
1,3334886,3335037,LINE/L1,rnd-1_family-12,
1,4290114,4290205,LINE/L1,rnd-1_family-12,
1,735985,741280,LINE/L1,rnd-1_family-15,
1,843341,848570,LINE/L1,rnd-1_family-15,
1,1506457,1507962,LINE/L1,rnd-1_family-15,
1,1688365,1692567,LINE/L1,rnd-1_family-15,
1,1688365,1688974,LINE/L1,rnd-1_family-15,
1,1688972,1689484,LINE/L1,rnd-1_family-15,
1,1689584,1692567,LINE/L1,rnd-1_family-15,
1,1689477,1689583,LINE/L1,rnd-1_family-15,
1,1774457,1784122,LINE/L1,rnd-1_family-15,
1,1774457,1779735,LINE/L1,rnd-1_family-15,
1,1783910,1784122,LINE/L1,rnd-1_family-15,
1,1779820,1783916,LINE/L1,rnd-1_family-15,
1,1779820,1783074,LINE/L1,rnd-1_family-15,
1,1783071,1783916,LINE/L1,rnd-1_family-15,
1,1793029,1795502,LINE/L1,rnd-1_family-15,
1,1970579,1975876,LINE/L1,rnd-1_family-15,
1,1997382,2001530,LINE/L1,rnd-1_family-15,
1,1997382,1998632,LINE/L1,rnd-1_family-15,
1,1998625,1998999,LINE/L1,rnd-1_family-15,
1,1999342,2000825,LINE/L1,rnd-1_family-15,
1,2000817,2001530,LINE/L1,rnd-1_family-15,
1,1998998,1999348,LINE/L1,rnd-1_family-15,
1,2063422,2071569,LINE/L1,rnd-1_family-15,
1,2063422,2064546,LINE/L1,rnd-1_family-15,
1,2070547,2071569,LINE/L1,rnd-1_family-15,
1,2071606,2073225,LINE/L1,rnd-1_family-15,
1,2369684,2370059,LINE/L1,rnd-1_family-15,
1,2371159,2371449,LINE/L1,rnd-1_family-15,
1,2398501,2402819,LINE/L1,rnd-1_family-15,
1,2410904,2411841,LINE/L1,rnd-1_family-15,
1,2560436,2560489,LINE/L1,rnd-1_family-15,
1,4005869,4009371,LINE/L1,rnd-1_family-15,
1,597307,597407,LINE/L1,rnd-1_family-5,
1,1113842,1113890,LINE/L1,rnd-1_family-5,
1,1189171,1189273,LINE/L1,rnd-1_family-5,
1,250668,250728,LINE/L1,rnd-3_family-16,
1,419043,419162,LINE/L1,rnd-3_family-16,
1,493363,497014,LINE/L1,rnd-3_family-16,
1,493363,493466,LINE/L1,rnd-3_family-16,
1,496900,497014,LINE/L1,rnd-3_family-16,
1,840299,840445,LINE/L1,rnd-3_family-16,
1,947659,947801,LINE/L1,rnd-3_family-16,
1,1051104,1051213,LINE/L1,rnd-3_family-16,
1,1343555,1343696,LINE/L1,rnd-3_family-16,
1,1361855,1361940,LINE/L1,rnd-3_family-16,
1,1565727,1565804,LINE/L1,rnd-3_family-16,
1,1610881,1611027,LINE/L1,rnd-3_family-16,
1,1632996,1638022,LINE/L1,rnd-3_family-16,
1,1632996,1633141,LINE/L1,rnd-3_family-16,
1,1637871,1638022,LINE/L1,rnd-3_family-16,
1,1732975,1733052,LINE/L1,rnd-3_family-16,
1,1749975,1750072,LINE/L1,rnd-3_family-16,
1,1836797,1836895,LINE/L1,rnd-3_family-16,
1,1988679,1988905,LINE/L1,rnd-3_family-16,
1,1996518,1996665,LINE/L1,rnd-3_family-16,
1,2407399,2407537,LINE/L1,rnd-3_family-16,
1,2410091,2410237,LINE/L1,rnd-3_family-16,
1,2419004,2419147,LINE/L1,rnd-3_family-16,
1,2558896,2559021,LINE/L1,rnd-3_family-16,
1,2559008,2559157,LINE/L1,rnd-3_family-16,
1,2822245,2822305,LINE/L1,rnd-3_family-16,
1,3018795,3018911,LINE/L1,rnd-3_family-16,
1,3074134,3074260,LINE/L1,rnd-3_family-16,
1,3097030,3097168,LINE/L1,rnd-3_family-16,
1,3267822,3268413,LINE/L1,rnd-3_family-16,
1,3267822,3267997,LINE/L1,rnd-3_family-16,
1,3268174,3268413,LINE/L1,rnd-3_family-16,
1,3319637,3319727,LINE/L1,rnd-3_family-16,
1,3638718,3638862,LINE/L1,rnd-3_family-16,
1,3922463,3922555,LINE/L1,rnd-3_family-16,
1,3926705,3926848,LINE/L1,rnd-3_family-16,
1,4157727,4157872,LINE/L1,rnd-3_family-16,
1,4630916,4630966,LINE/L1,rnd-3_family-16,
1,865784,865887,LINE/L1,rnd-3_family-2367,
1,892471,892518,LINE/L1,rnd-3_family-2367,
1,893388,893481,LINE/L1,rnd-3_family-2367,
1,1018600,1018628,LINE/L1,rnd-3_family-2367,
1,1022311,1022414,LINE/L1,rnd-3_family-2367,
1,1285162,1285255,LINE/L1,rnd-3_family-2367,
1,1517800,1517940,LINE/L1,rnd-3_family-2367,
1,1543278,1543384,LINE/L1,rnd-3_family-2367,
1,1739032,1739138,LINE/L1,rnd-3_family-2367,
1,1739323,1739399,LINE/L1,rnd-3_family-2367,
1,1803043,1803167,LINE/L1,rnd-3_family-2367,
1,1921877,1921966,LINE/L1,rnd-3_family-2367,
1,2112289,2112342,LINE/L1,rnd-3_family-2367,
1,2121517,2121619,LINE/L1,rnd-3_family-2367,
1,2170403,2170519,LINE/L1,rnd-3_family-2367,
1,2170881,2170963,LINE/L1,rnd-3_family-2367,
1,2208209,2208294,LINE/L1,rnd-3_family-2367,
1,2545385,2545513,LINE/L1,rnd-3_family-2367,
1,2666290,2666386,LINE/L1,rnd-3_family-2367,
1,2793685,2793761,LINE/L1,rnd-3_family-2367,
1,2880283,2880343,LINE/L1,rnd-3_family-2367,
1,3227042,3227065,LINE/L1,rnd-3_family-2367,
1,3241545,3241592,LINE/L1,rnd-3_family-2367,
1,3321216,3321368,LINE/L1,rnd-3_family-2367,
1,3321358,3321493,LINE/L1,rnd-3_family-2367,
1,3405963,3406033,LINE/L1,rnd-3_family-2367,
1,3420840,3420969,LINE/L1,rnd-3_family-2367,
1,3438706,3438728,LINE/L1,rnd-3_family-2367,
1,3508624,3508856,LINE/L1,rnd-3_family-2367,
1,3528816,3528892,LINE/L1,rnd-3_family-2367,
1,3675742,3675805,LINE/L1,rnd-3_family-2367,
1,3729088,3729172,LINE/L1,rnd-3_family-2367,
1,3774287,3774389,LINE/L1,rnd-3_family-2367,
1,3918182,3918307,LINE/L1,rnd-3_family-2367,
1,3989126,3989208,LINE/L1,rnd-3_family-2367,
1,4076299,4076391,LINE/L1,rnd-3_family-2367,
1,4109334,4109406,LINE/L1,rnd-3_family-2367,
1,4440078,4440185,LINE/L1,rnd-3_family-2367,
1,4462842,4462920,LINE/L1,rnd-3_family-2367,
1,4471988,4472130,LINE/L1,rnd-3_family-2367,
1,4538587,4538654,LINE/L1,rnd-3_family-2367,
1,4824498,4824599,LINE/L1,rnd-3_family-2367,
1,741349,746603,LINE/L1-DRE,rnd-1_family-10,
1,749817,749956,LINE/L1-DRE,rnd-1_family-10,
1,819083,819816,LINE/L1-DRE,rnd-1_family-10,
1,819083,819582,LINE/L1-DRE,rnd-1_family-10,
1,819645,819816,LINE/L1-DRE,rnd-1_family-10,
1,848642,848752,LINE/L1-DRE,rnd-1_family-10,
1,1995695,1995766,LINE/L1-DRE,rnd-1_family-10,
1,2067637,2067898,LINE/L1-DRE,rnd-1_family-10,
1,2090926,2091055,LINE/L1-DRE,rnd-1_family-10,
1,2166010,2166288,LINE/L1-DRE,rnd-1_family-10,
1,2877914,2878202,LINE/L1-DRE,rnd-1_family-10,
1,3255540,3255629,LINE/L1-DRE,rnd-1_family-10,
1,3256455,3256640,LINE/L1-DRE,rnd-1_family-10,
1,3641472,3644070,LINE/L1-DRE,rnd-1_family-10,
1,3641472,3641757,LINE/L1-DRE,rnd-1_family-10,
1,3641750,3644070,LINE/L1-DRE,rnd-1_family-10,
1,4184268,4184574,LINE/L1-DRE,rnd-1_family-10,
1,4374971,4375189,LINE/L1-DRE,rnd-1_family-10,
1,4549652,4551606,LINE/L1-DRE,rnd-1_family-10,
1,4703423,4703671,LINE/L1-DRE,rnd-1_family-10,
1,4703723,4708978,LINE/L1-DRE,rnd-1_family-10,
1,193140,195435,LINE/L1-DRE,rnd-1_family-4,
1,734093,734304,LINE/L1-DRE,rnd-1_family-4,
1,750155,751251,LINE/L1-DRE,rnd-1_family-4,
1,841810,842288,LINE/L1-DRE,rnd-1_family-4,
1,842335,842454,LINE/L1-DRE,rnd-1_family-4,
1,1511488,1511905,LINE/L1-DRE,rnd-1_family-4,
1,1687937,1687972,LINE/L1-DRE,rnd-1_family-4,
1,1687976,1688110,LINE/L1-DRE,rnd-1_family-4,
1,1759358,1759429,LINE/L1-DRE,rnd-1_family-4,
1,1760467,1760513,LINE/L1-DRE,rnd-1_family-4,
1,1773182,1774451,LINE/L1-DRE,rnd-1_family-4,
1,1790155,1790260,LINE/L1-DRE,rnd-1_family-4,
1,1790313,1792928,LINE/L1-DRE,rnd-1_family-4,
1,1790313,1790347,LINE/L1-DRE,rnd-1_family-4,
1,1790447,1792928,LINE/L1-DRE,rnd-1_family-4,
1,1950438,1956698,LINE/L1-DRE,rnd-1_family-4,
1,1997071,1997220,LINE/L1-DRE,rnd-1_family-4,
1,1997071,1997120,LINE/L1-DRE,rnd-1_family-4,
1,1997139,1997220,LINE/L1-DRE,rnd-1_family-4,
1,2001847,2002147,LINE/L1-DRE,rnd-1_family-4,
1,2021571,2023266,LINE/L1-DRE,rnd-1_family-4,
1,2065052,2065088,LINE/L1-DRE,rnd-1_family-4,
1,2368908,2369125,LINE/L1-DRE,rnd-1_family-4,
1,2390485,2393594,LINE/L1-DRE,rnd-1_family-4,
1,2390485,2392798,LINE/L1-DRE,rnd-1_family-4,
1,2392908,2393594,LINE/L1-DRE,rnd-1_family-4,
1,2398017,2404689,LINE/L1-DRE,rnd-1_family-4,
1,2398017,2398297,LINE/L1-DRE,rnd-1_family-4,
1,2402920,2404689,LINE/L1-DRE,rnd-1_family-4,
1,2412013,2414168,LINE/L1-DRE,rnd-1_family-4,
1,2412013,2412743,LINE/L1-DRE,rnd-1_family-4,
1,2413862,2414168,LINE/L1-DRE,rnd-1_family-4,
1,2413466,2413866,LINE/L1-DRE,rnd-1_family-4,
1,2424923,2427950,LINE/L1-DRE,rnd-1_family-4,
1,2424923,2425251,LINE/L1-DRE,rnd-1_family-4,
1,2425808,2427950,LINE/L1-DRE,rnd-1_family-4,
1,2425241,2425809,LINE/L1-DRE,rnd-1_family-4,
1,2501395,2503526,LINE/L1-DRE,rnd-1_family-4,
1,2684917,2687228,LINE/L1-DRE,rnd-1_family-4,
1,2690531,2691101,LINE/L1-DRE,rnd-1_family-4,
1,2691383,2697038,LINE/L1-DRE,rnd-1_family-4,
1,2813085,2817494,LINE/L1-DRE,rnd-1_family-4,
1,2813085,2813410,LINE/L1-DRE,rnd-1_family-4,
1,2817094,2817353,LINE/L1-DRE,rnd-1_family-4,
1,2817351,2817494,LINE/L1-DRE,rnd-1_family-4,
1,2848623,2848668,LINE/L1-DRE,rnd-1_family-4,
1,2848994,2850000,LINE/L1-DRE,rnd-1_family-4,
1,2855369,2857684,LINE/L1-DRE,rnd-1_family-4,
1,2877489,2877576,LINE/L1-DRE,rnd-1_family-4,
1,3219368,3222771,LINE/L1-DRE,rnd-1_family-4,
1,3219368,3220369,LINE/L1-DRE,rnd-1_family-4,
1,3220471,3222771,LINE/L1-DRE,rnd-1_family-4,
1,3579337,3579722,LINE/L1-DRE,rnd-1_family-4,
1,3928543,3928673,LINE/L1-DRE,rnd-1_family-4,
1,4118929,4125175,LINE/L1-DRE,rnd-1_family-4,
1,4158990,4162176,LINE/L1-DRE,rnd-1_family-4,
1,4158990,4161697,LINE/L1-DRE,rnd-1_family-4,
1,4162085,4162176,LINE/L1-DRE,rnd-1_family-4,
1,4162957,4163471,LINE/L1-DRE,rnd-1_family-4,
1,4200627,4200770,LINE/L1-DRE,rnd-1_family-4,
1,4551837,4552523,LINE/L1-DRE,rnd-1_family-4,
1,4551837,4552278,LINE/L1-DRE,rnd-1_family-4,
1,4552265,4552523,LINE/L1-DRE,rnd-1_family-4,
1,4709205,4709905,LINE/L1-DRE,rnd-1_family-4,
1,837888,840285,LINE/L1-DRE,rnd-1_family-44,
1,840275,840316,LINE/L1-DRE,rnd-1_family-44,
1,946262,947655,LINE/L1-DRE,rnd-1_family-44,
1,1611033,1613430,LINE/L1-DRE,rnd-1_family-44,
1,1996246,1996505,LINE/L1-DRE,rnd-1_family-44,
1,1996496,1996537,LINE/L1-DRE,rnd-1_family-44,
1,2405034,2407418,LINE/L1-DRE,rnd-1_family-44,
